Northern Hemisphere Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
193010,0.08
193011,0.31
193012,0.11
193101,0.05
193102,-0.32
193103,0.05
193104,-0.12
193105,-0.12
193106,0.13
193107,0.10
193108,0.13
193109,0.17
193110,0.23
193111,0.02
193112,-0.01
193201,0.34
193202,-0.25
193203,-0.27
193204,0.08
193205,-0.14
193206,-0.13
193207,-0.11
193208,-0.09
193209,0.07
193210,0.08
193211,-0.23
193212,-0.20
193301,-0.34
193302,-0.42
193303,-0.31
193304,-0.20
193305,-0.24
193306,-0.26
193307,-0.12
193308,-0.15
193309,-0.26
193310,-0.16
193311,-0.16
193312,-0.47
193401,-0.31
193402,0.16
193403,-0.37
193404,-0.28
193405,0.04
193406,-0.02
193407,-0.02
193408,-0.04
193409,-0.14
193410,0.05
193411,0.18
193412,0.07
193501,-0.37
193502,0.49
193503,-0.03
193504,-0.30
193505,-0.22
193506,-0.12
193507,-0.06
193508,-0.05
193509,-0.06
193510,0.08
193511,-0.37
193512,-0.14
193601,-0.32
193602,-0.39
193603,-0.10
193604,-0.08
193605,0.00
193606,0.03
193607,0.10
193608,0.03
193609,0.06
193610,0.05
193611,0.07
193612,0.15
193701,-0.16
193702,0.18
193703,-0.20
193704,-0.06
193705,0.11
193706,0.19
193707,0.15
193708,0.18
193709,0.31
193710,0.25
193711,0.17
193712,-0.03
193801,0.19
193802,0.15
193803,0.18
193804,0.28
193805,0.05
193806,-0.07
193807,-0.02
193808,0.07
193809,0.11
193810,0.14
193811,0.15
193812,-0.25
193901,-0.08
193902,-0.03
193903,-0.23
193904,-0.11
193905,0.00
193906,0.00
193907,0.05
193908,0.09
193909,0.13
193910,0.06
193911,0.18
193912,0.77
194001,-0.13
194002,0.12
194003,0.09
194004,0.23
194005,0.13
194006,0.12
194007,0.17
194008,0.09
194009,0.22
194010,0.20
194011,0.24
194012,0.35
194101,0.26
194102,0.42
194103,0.16
194104,0.20
194105,0.24
194106,0.22
194107,0.25
194108,0.22
194109,0.15
194110,0.46
194111,0.26
194112,0.21
194201,0.28
194202,-0.05
194203,0.11
194204,0.13
194205,0.13
194206,0.16
194207,0.05
194208,-0.02
194209,0.09
194210,0.18
194211,0.21
194212,0.16
194301,-0.13
194302,0.22
194303,-0.04
194304,0.22
194305,0.16
194306,-0.08
194307,0.00
194308,0.12
194309,0.14
194310,0.36
194311,0.26
194312,0.37
194401,0.51
194402,0.37
194403,0.36
194404,0.19
194405,0.26
194406,0.23
194407,0.24
194408,0.21
194409,0.38
194410,0.38
194411,0.12
194412,0.05
194501,0.14
194502,-0.09
194503,0.08
194504,0.31
